Model,Manual_annotated_sentences,Date-Drug_annotations,Generated_annotations,Total_annotations,Type_of_evaluation,Initiation_[95%_CI],Continuation_[95%_CI],Termination_[95%_CI],Ambiguous_[95%_CI],NoRelationship_[95%_CI],Macro_[95%_CI]
AliBERT-7GB,100,335,0,335,precision,0.336 [0.289 - 0.382],0.428 [0.222 - 0.636],0.0 [0.0 - 0.0],0.07 [0.0 - 0.179],0.683 [0.571 - 0.779],0.303 [0.256 - 0.358]
AliBERT-7GB,100,335,0,335,recall,0.877 [0.824 - 0.926],0.126 [0.059 - 0.2],0.0 [0.0 - 0.0],0.066 [0.0 - 0.172],0.3 [0.234 - 0.372],0.274 [0.247 - 0.309]
AliBERT-7GB,100,335,0,335,f1-score,0.485 [0.433 - 0.534],0.193 [0.097 - 0.294],0.0 [0.0 - 0.0],0.067 [0.0 - 0.167],0.416 [0.337 - 0.493],0.232 [0.201 - 0.269]
AliBERT-7GB,395,1230,0,1230,precision,0.606 [0.521 - 0.695],0.39 [0.303 - 0.474],0.422 [0.267 - 0.59],0.147 [0.031 - 0.281],0.589 [0.521 - 0.657],0.43 [0.382 - 0.482]
AliBERT-7GB,395,1230,0,1230,recall,0.417 [0.336 - 0.5],0.526 [0.42 - 0.627],0.206 [0.125 - 0.298],0.162 [0.034 - 0.304],0.763 [0.703 - 0.822],0.415 [0.371 - 0.461]
AliBERT-7GB,395,1230,0,1230,f1-score,0.493 [0.414 - 0.572],0.446 [0.354 - 0.527],0.275 [0.168 - 0.376],0.152 [0.034 - 0.286],0.664 [0.613 - 0.718],0.406 [0.362 - 0.453]
AliBERT-7GB,740,2406,0,2406,precision,0.616 [0.542 - 0.697],0.588 [0.464 - 0.701],0.566 [0.48 - 0.647],0.154 [0.08 - 0.239],0.817 [0.741 - 0.885],0.548 [0.512 - 0.59]
AliBERT-7GB,740,2406,0,2406,recall,0.626 [0.544 - 0.71],0.473 [0.377 - 0.585],0.82 [0.736 - 0.901],0.39 [0.222 - 0.586],0.51 [0.435 - 0.581],0.564 [0.519 - 0.616]
AliBERT-7GB,740,2406,0,2406,f1-score,0.62 [0.553 - 0.682],0.522 [0.426 - 0.624],0.669 [0.596 - 0.737],0.219 [0.122 - 0.324],0.627 [0.556 - 0.692],0.531 [0.494 - 0.575]
AliBERT-7GB,1035,3235,0,3235,precision,0.733 [0.667 - 0.804],0.638 [0.536 - 0.73],0.98 [0.929 - 1.0],0.31 [0.167 - 0.449],0.761 [0.696 - 0.825],0.685 [0.645 - 0.725]
AliBERT-7GB,1035,3235,0,3235,recall,0.766 [0.687 - 0.836],0.751 [0.651 - 0.841],0.665 [0.565 - 0.765],0.418 [0.229 - 0.577],0.731 [0.663 - 0.796],0.666 [0.615 - 0.714]
AliBERT-7GB,1035,3235,0,3235,f1-score,0.749 [0.694 - 0.801],0.689 [0.606 - 0.76],0.791 [0.709 - 0.863],0.353 [0.194 - 0.488],0.745 [0.694 - 0.795],0.665 [0.623 - 0.708]
AliBERT-7GB,1035,3235,3000,6235,precision,0.748 [0.678 - 0.81],0.583 [0.49 - 0.68],0.901 [0.815 - 0.967],0.302 [0.148 - 0.455],0.765 [0.697 - 0.824],0.66 [0.616 - 0.705]
AliBERT-7GB,1035,3235,3000,6235,recall,0.81 [0.744 - 0.873],0.68 [0.571 - 0.789],0.713 [0.597 - 0.819],0.32 [0.167 - 0.483],0.714 [0.65 - 0.78],0.648 [0.597 - 0.695]
AliBERT-7GB,1035,3235,3000,6235,f1-score,0.777 [0.721 - 0.826],0.626 [0.543 - 0.708],0.795 [0.708 - 0.871],0.308 [0.157 - 0.448],0.738 [0.684 - 0.789],0.649 [0.603 - 0.693]
